"","River","Latitude","Longitude","pastTemp","FutTemp","CurTemp.bio1","CurTemp.bio2","CurTemp.bio3","CurTemp.bio4","CurTemp.bio5","CurTemp.bio6","CurTemp.bio7","CurTemp.bio8","CurTemp.bio9","CurTemp.bio10","CurTemp.bio11","CurTemp.bio12","CurTemp.bio13","CurTemp.bio14","CurTemp.bio15","CurTemp.bio16","CurTemp.bio17","CurTemp.bio18","CurTemp.bio19"
"11","Northeast River",47.75,-52.75, 7.00556429,6.7,   5.0,   6.1,   2.4, 630.6,  18.0,  -6.9,  24.9,   0.1,   2.0,  13.6,  -2.8, 132.1,  12.7,   8.5,   1.2,  37.4,  28.2,  32.4,  33.9
"12","Southeast River",47.75,-52.75, 7.00556429,6.7,   5.0,   6.1,   2.4, 630.6,  18.0,  -6.9,  24.9,   0.1,   2.0,  13.6,  -2.8, 132.1,  12.7,   8.5,   1.2,  37.4,  28.2,  32.4,  33.9
"13","Bay du Nord River",47.75,-54.75, 6.55067163,6.3,   4.5,   8.4,   2.8, 728.5,  19.8,  -9.9,  29.7,   2.2,  10.7,  13.9,  -4.6, 147.8,  14.7,  10.0,   1.3,  43.2,  31.5,  34.1,  41.0
"14","Garnish River",47.75,-54.75, 6.55067163,6.7,   5.0,   7.4,   2.7, 660.7,  19.1,  -7.7,  26.8,   3.3,  10.0,  13.9,  -3.2, 143.1,  14.3,   9.7,   1.2,  41.4,  31.2,  33.1,  36.8
"15","Grand Bank Brook",47.75,-54.75, 6.55067163,6.8,   5.2,   7.0,   2.6, 644.7,  19.1,  -7.1,  26.2,   0.1,   9.8,  13.9,  -2.8, 136.8,  14.5,   8.9,   1.5,  41.4,  29.0,  30.7,  35.2
"16","Long Harbour River",47.75,-54.75, 6.55067163,6.3,   4.5,   8.4,   2.8, 728.5,  19.8,  -9.9,  29.7,   2.2,  10.7,  13.9,  -4.6, 147.8,  14.7,  10.0,   1.3,  43.2,  31.5,  34.1,  41.0
"17","Southwest Brook",47.75,-54.75, 6.55067163,6.1,   4.3,   8.7,   2.8, 750.8,  20.0, -10.6,  30.6,   1.8,  10.8,  13.9,  -5.1, 146.9,  14.6,   9.9,   1.3,  42.7,  31.4,  34.1,  40.6
"18","Simms Brook Fortune Bay",47.75,-52.75, 7.00556429,6.5,   4.9,   6.7,   2.5, 662.2,  18.6,  -7.8,  26.4,  -0.5,   2.0,  13.7,  -3.4, 128.6,  12.6,   8.6,   1.2,  36.4,  27.9,  30.7,  33.7
"19","Old Bay Brook",47.75,-52.75, 7.00556429,6.5,   4.9,   6.7,   2.5, 662.2,  18.6,  -7.8,  26.4,  -0.5,   2.0,  13.7,  -3.4, 128.6,  12.6,   8.6,   1.2,  36.4,  27.9,  30.7,  33.7
"20","Conne River",47.75,-52.75, 7.00556429,6.5,   4.8,   7.3,   2.6, 684.9,  19.3,  -8.2,  27.5,  -0.8,  10.3,  13.9,  -3.6, 127.6,  12.6,   7.9,   1.5,  37.3,  25.8,  28.9,  34.9
"21","Conne River Mill Brook",47.75,-52.75, 7.00556429,6.4,   4.7,   7.3,   2.6, 691.4,  19.1,  -8.5,  27.6,  -1.0,  10.3,  13.9,  -3.8, 123.3,  12.2,   8.0,   1.3,  35.3,  26.1,  28.5,  33.2
"22","Little River",47.75,-52.75, 7.00556429,6.4,   4.7,   7.3,   2.6, 691.4,  19.1,  -8.5,  27.6,  -1.0,  10.3,  13.9,  -3.8, 123.3,  12.2,   8.0,   1.3,  35.3,  26.1,  28.5,  33.2
"23","Southwest Brook",47.75,-54.75, 6.55067163,5.9,   4.1,   9.0,   2.8, 761.3,  20.2, -11.2,  31.4,   1.6,   6.4,  13.8,  -5.5, 155.9,  16.0,  10.4,   1.4,  46.4,  33.0,  36.1,  43.3
"24","Southwest Brook Milltown",47.75,-54.75, 6.55067163,6.2,   4.4,   9.0,   2.8, 763.1,  20.4, -10.9,  31.3,   1.8,  11.1,  14.1,  -5.3, 154.9,  15.9,  10.3,   1.4,  45.9,  32.7,  35.7,  43.2
"25","Cinq Cerf Brook",47.75,-57.75, 6.36364079,5.6,   3.8,   6.5,   2.3, 718.4,  18.2,  -9.9,  28.1,  -2.0,   0.8,  13.2,  -5.3, 150.1,  15.9,  10.0,   1.4,  45.4,  31.1,  35.9,  36.8
